OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,2,2,4,1,100000,100000,0,6.266747,15957.241471
1,2,2,4,1,100000,100000,0,-8.836656,-11316.498618
1,2,2,4,1,100000,100000,0,6.289211,15900.245710
1,2,2,4,1,100000,100000,0,6.262552,15967.930632
1,2,2,4,1,100000,100000,0,6.258505,15978.256318
1,2,2,4,1,100000,100000,0,6.263617,15965.216391
1,2,2,4,1,100000,100000,0,6.347414,15754.446498
1,2,2,4,1,100000,100000,0,6.251080,15997.235980
1,2,2,4,1,100000,100000,0,6.252462,15993.700593
1,2,2,4,1,100000,100000,0,21.124220,4733.902526
1,2,3,6,1,100000,100000,0,4.593046,21772.043768
1,2,3,6,1,100000,100000,0,4.576410,21851.187595
1,2,3,6,1,100000,100000,0,4.589107,21790.731778
1,2,3,6,1,100000,100000,0,24.883742,4018.688165
1,2,3,6,1,100000,100000,0,4.500541,22219.553071
1,2,3,6,1,100000,100000,0,4.715240,21207.826871
1,2,3,6,1,100000,100000,0,4.702316,21266.115866
1,2,3,6,1,100000,100000,0,4.567110,21895.684565
1,2,3,6,1,100000,100000,0,4.333922,23073.789012
1,2,3,6,1,100000,100000,0,4.616585,21661.034049
1,2,4,8,1,100000,100000,0,4.014006,24912.768849
1,2,4,8,1,100000,100000,0,4.099169,24395.191021
1,2,4,8,1,100000,100000,0,4.056011,24654.765057
1,2,4,8,1,100000,100000,0,4.041303,24744.494983
1,2,4,8,1,100000,100000,0,4.079577,24512.346891
1,2,4,8,1,100000,100000,0,4.058120,24641.950136
1,2,4,8,1,100000,100000,0,4.126352,24234.479593
1,2,4,8,1,100000,100000,0,4.075157,24538.930411
1,2,4,8,1,100000,100000,0,4.086114,24473.127976
1,2,4,8,1,100000,100000,0,4.079842,24510.754032
1,3,2,6,1,100000,100000,0,26.518145,3771.002792
1,3,2,6,1,100000,100000,0,6.346660,15756.319278
1,3,2,6,1,100000,100000,0,6.493289,15400.515633
1,3,2,6,1,100000,100000,0,6.364687,15711.691418
1,3,2,6,1,100000,100000,0,6.346142,15757.604571
1,3,2,6,1,100000,100000,0,6.442529,15521.854495
1,3,2,6,1,100000,100000,0,6.487899,15413.309675
1,3,2,6,1,100000,100000,0,6.311915,15843.053046
1,3,2,6,1,100000,100000,0,6.370604,15697.099779
1,3,2,6,1,100000,100000,0,6.442082,15522.933053
1,3,3,9,1,100000,100000,0,4.624342,21624.699104
1,3,3,9,1,100000,100000,0,4.709101,21235.477914
1,3,3,9,1,100000,100000,0,4.667536,21424.581896
1,3,3,9,1,100000,100000,0,4.699282,21279.844471
1,3,3,9,1,100000,100000,0,-10.353196,-9658.852910
1,3,3,9,1,100000,100000,0,4.705964,21249.629129
1,3,3,9,1,100000,100000,0,24.891209,4017.482672
1,3,3,9,1,100000,100000,0,4.573847,21863.435229
1,3,3,9,1,100000,100000,0,4.612072,21682.229830
1,3,3,9,1,100000,100000,0,4.964774,20141.901984
1,3,4,12,1,100000,100000,0,3.886104,25732.714801
1,3,4,12,1,100000,100000,0,4.050447,24688.633978
1,3,4,12,1,100000,100000,0,4.123659,24250.308932
1,3,4,12,1,100000,100000,0,4.111588,24321.503308
1,3,4,12,1,100000,100000,0,4.146498,24116.734772
1,3,4,12,1,100000,100000,0,4.107551,24345.404068
1,3,4,12,1,100000,100000,0,4.167681,23994.158033
1,3,4,12,1,100000,100000,0,4.180516,23920.491614
1,3,4,12,1,100000,100000,0,4.107835,24343.725246
1,3,4,12,1,100000,100000,0,24.410550,4096.589422
1,4,2,8,1,100000,100000,0,6.326691,15806.050991
1,4,2,8,1,100000,100000,0,6.326950,15805.403708
1,4,2,8,1,100000,100000,0,6.378483,15677.709029
1,4,2,8,1,100000,100000,0,6.454073,15494.092603
1,4,2,8,1,100000,100000,0,6.239799,16026.157104
1,4,2,8,1,100000,100000,0,6.337570,15778.918336
1,4,2,8,1,100000,100000,0,6.506787,15368.567952
1,4,2,8,1,100000,100000,0,6.271192,15945.932517
1,4,2,8,1,100000,100000,0,6.239658,16026.519464
1,4,2,8,1,100000,100000,0,6.397516,15631.065615
1,4,3,12,1,100000,100000,0,4.638887,21556.894819
1,4,3,12,1,100000,100000,0,4.642135,21541.812620
1,4,3,12,1,100000,100000,0,4.651876,21496.703843
1,4,3,12,1,100000,100000,0,4.701549,21269.585421
1,4,3,12,1,100000,100000,0,4.633715,21580.955244
1,4,3,12,1,100000,100000,0,4.743008,21083.666483
1,4,3,12,1,100000,100000,0,4.654312,21485.452967
1,4,3,12,1,100000,100000,0,4.678749,21373.234977
1,4,3,12,1,100000,100000,0,4.643025,21537.683137
1,4,3,12,1,100000,100000,0,4.679392,21370.296684
1,4,4,16,1,100000,100000,0,4.132327,24199.439801
1,4,4,16,1,100000,100000,0,24.400623,4098.256076
1,4,4,16,1,100000,100000,0,4.086546,24470.541124
1,4,4,16,1,100000,100000,0,4.003724,24976.744465
1,4,4,16,1,100000,100000,0,4.053045,24672.808496
1,4,4,16,1,100000,100000,0,4.074758,24541.337327
1,4,4,16,1,100000,100000,0,4.067953,24582.386279
1,4,4,16,1,100000,100000,0,4.074261,24544.326407
1,4,4,16,1,100000,100000,0,4.112603,24315.497488
1,4,4,16,1,100000,100000,0,4.085840,24474.770867
1,2,2,4,2,100000,100000,0,5.524171,18102.262353
1,2,2,4,2,100000,100000,0,5.368415,18627.473221
1,2,2,4,2,100000,100000,0,5.658955,17671.106700
1,2,2,4,2,100000,100000,0,5.549662,18019.115450
1,2,2,4,2,100000,100000,0,5.764590,17347.286775
1,2,2,4,2,100000,100000,0,5.660805,17665.330712
1,2,2,4,2,100000,100000,0,5.401027,18514.996006
1,2,2,4,2,100000,100000,0,5.606209,17837.366257
1,2,2,4,2,100000,100000,0,5.662585,17659.780138
1,2,2,4,2,100000,100000,0,5.668640,17640.915211
1,2,3,6,2,100000,100000,0,3.817854,26192.722011
1,2,3,6,2,100000,100000,0,3.933003,25425.862526
1,2,3,6,2,100000,100000,0,4.024713,24846.491499
1,2,3,6,2,100000,100000,0,4.118242,24282.204492
1,2,3,6,2,100000,100000,0,4.023452,24854.276438
1,2,3,6,2,100000,100000,0,4.030532,24810.622245
1,2,3,6,2,100000,100000,0,3.877707,25788.436816
1,2,3,6,2,100000,100000,0,4.133797,24190.832276
1,2,3,6,2,100000,100000,0,3.901422,25631.678425
1,2,3,6,2,100000,100000,0,3.940129,25379.881073
1,2,4,8,2,100000,100000,0,3.194246,31306.296381
1,2,4,8,2,100000,100000,0,3.205176,31199.534178
1,2,4,8,2,100000,100000,0,3.103475,32221.941298
1,2,4,8,2,100000,100000,0,3.085346,32411.276772
1,2,4,8,2,100000,100000,0,3.104694,32209.297728
1,2,4,8,2,100000,100000,0,3.022975,33079.992603
1,2,4,8,2,100000,100000,0,3.271894,30563.336041
1,2,4,8,2,100000,100000,0,18.082304,5530.268614
1,2,4,8,2,100000,100000,0,3.099763,32260.532884
1,2,4,8,2,100000,100000,0,3.061695,32661.647276
1,2,8,16,2,100000,100000,0,2.621479,38146.408356
1,2,8,16,2,100000,100000,0,2.616676,38216.425116
1,2,8,16,2,100000,100000,0,2.577512,38797.102465
1,2,8,16,2,100000,100000,0,2.529352,39535.820511
1,2,8,16,2,100000,100000,0,2.763537,36185.516488
1,2,8,16,2,100000,100000,0,2.585793,38672.850187
1,2,8,16,2,100000,100000,0,2.652663,37697.966527
1,2,8,16,2,100000,100000,0,2.661412,37574.035424
1,2,8,16,2,100000,100000,0,2.607646,38348.766848
1,2,8,16,2,100000,100000,0,2.599989,38461.707634
1,3,2,6,2,100000,100000,0,4.275783,23387.529003
1,3,2,6,2,100000,100000,0,4.214285,23728.815695
1,3,2,6,2,100000,100000,0,4.192680,23851.092908
1,3,2,6,2,100000,100000,0,4.125271,24240.830019
1,3,2,6,2,100000,100000,0,4.225664,23664.918368
1,3,2,6,2,100000,100000,0,4.444775,22498.326722
1,3,2,6,2,100000,100000,0,4.223281,23678.275551
1,3,2,6,2,100000,100000,0,4.117834,24284.611994
1,3,2,6,2,100000,100000,0,4.194575,23840.318889
1,3,2,6,2,100000,100000,0,4.117500,24286.584306
1,3,3,9,2,100000,100000,0,3.416946,29265.899049
1,3,3,9,2,100000,100000,0,3.367158,29698.639862
1,3,3,9,2,100000,100000,0,3.190919,31338.933577
1,3,3,9,2,100000,100000,0,3.042620,32866.413940
1,3,3,9,2,100000,100000,0,3.108792,32166.830192
1,3,3,9,2,100000,100000,0,3.092104,32340.442665
1,3,3,9,2,100000,100000,0,3.143440,31812.280942
1,3,3,9,2,100000,100000,0,3.170260,31543.157900
1,3,3,9,2,100000,100000,0,3.127256,31976.914632
1,3,3,9,2,100000,100000,0,3.189161,31356.211268
1,3,4,12,2,100000,100000,0,2.704995,36968.643978
1,3,4,12,2,100000,100000,0,2.694451,37113.313350
1,3,4,12,2,100000,100000,0,2.623776,38113.004374
1,3,4,12,2,100000,100000,0,2.661147,37577.777257
1,3,4,12,2,100000,100000,0,2.698175,37062.094280
1,3,4,12,2,100000,100000,0,2.691425,37155.037970
1,3,4,12,2,100000,100000,0,2.882769,34688.875938
1,3,4,12,2,100000,100000,0,2.679730,37317.198239
1,3,4,12,2,100000,100000,0,2.908845,34377.911219
1,3,4,12,2,100000,100000,0,2.891428,34584.983687
1,3,8,24,2,100000,100000,0,2.890128,34600.537706
1,3,8,24,2,100000,100000,0,2.765999,36153.298419
1,3,8,24,2,100000,100000,0,2.794983,35778.391225
1,3,8,24,2,100000,100000,0,2.832533,35304.087634
1,3,8,24,2,100000,100000,0,22.418551,4460.591679
1,3,8,24,2,100000,100000,0,2.792328,35812.412748
1,3,8,24,2,100000,100000,0,2.915947,34294.177493
1,3,8,24,2,100000,100000,0,2.787413,35875.564726
1,3,8,24,2,100000,100000,0,2.791794,35819.263276
1,3,8,24,2,100000,100000,0,2.964569,33731.718898
1,4,2,8,2,100000,100000,0,3.932474,25429.282927
1,4,2,8,2,100000,100000,0,4.000352,24997.800806
1,4,2,8,2,100000,100000,0,3.921536,25500.210569
1,4,2,8,2,100000,100000,0,3.974584,25159.868408
1,4,2,8,2,100000,100000,0,4.033208,24794.161542
1,4,2,8,2,100000,100000,0,4.004385,24972.624815
1,4,2,8,2,100000,100000,0,3.934316,25417.380431
1,4,2,8,2,100000,100000,0,4.056699,24650.581459
1,4,2,8,2,100000,100000,0,3.988553,25071.749355
1,4,2,8,2,100000,100000,0,4.060869,24625.274119
1,4,3,12,2,100000,100000,0,3.132121,31927.245990
1,4,3,12,2,100000,100000,0,3.112678,32126.673913
1,4,3,12,2,100000,100000,0,3.082662,32439.492865
1,4,3,12,2,100000,100000,0,3.203851,31212.440841
1,4,3,12,2,100000,100000,0,3.215022,31103.982839
1,4,3,12,2,100000,100000,0,3.119442,32057.018943
1,4,3,12,2,100000,100000,0,3.138901,31858.285172
1,4,3,12,2,100000,100000,0,3.114635,32106.492242
1,4,3,12,2,100000,100000,0,3.250749,30762.137285
1,4,3,12,2,100000,100000,0,3.214072,31113.177527
1,4,4,16,2,100000,100000,0,2.525214,39600.610341
1,4,4,16,2,100000,100000,0,2.679797,37316.259668
1,4,4,16,2,100000,100000,0,2.655018,37664.531210
1,4,4,16,2,100000,100000,0,2.737262,36532.850082
1,4,4,16,2,100000,100000,0,2.638617,37898.637448
1,4,4,16,2,100000,100000,0,2.684965,37244.434436
1,4,4,16,2,100000,100000,0,2.767129,36138.541779
1,4,4,16,2,100000,100000,0,2.686499,37223.173030
1,4,4,16,2,100000,100000,0,2.591916,38581.497538
1,4,4,16,2,100000,100000,0,2.586001,38669.748120
1,4,8,32,2,100000,100000,0,2.819031,35473.175956
1,4,8,32,2,100000,100000,0,2.596278,38516.676298
1,4,8,32,2,100000,100000,0,2.550698,39204.958675
1,4,8,32,2,100000,100000,0,2.726817,36672.793400
1,4,8,32,2,100000,100000,0,2.733157,36587.721831
1,4,8,32,2,100000,100000,0,2.587529,38646.914780
1,4,8,32,2,100000,100000,0,2.743366,36451.577119
1,4,8,32,2,100000,100000,0,2.748209,36387.338017
1,4,8,32,2,100000,100000,0,2.848531,35105.808151
1,4,8,32,2,100000,100000,0,2.701791,37012.490641
1,8,2,16,2,100000,100000,0,4.031833,24802.611677
1,8,2,16,2,100000,100000,0,3.903026,25621.148084
1,8,2,16,2,100000,100000,0,3.977753,25139.822685
1,8,2,16,2,100000,100000,0,3.984889,25094.802568
1,8,2,16,2,100000,100000,0,4.057606,24645.073281
1,8,2,16,2,100000,100000,0,4.002010,24987.442854
1,8,2,16,2,100000,100000,0,3.876056,25799.418239
1,8,2,16,2,100000,100000,0,3.957017,25271.563923
1,8,2,16,2,100000,100000,0,3.945800,25343.405546
1,8,2,16,2,100000,100000,0,3.918333,25521.056090
1,8,3,24,2,100000,100000,0,3.076928,32499.946321
1,8,3,24,2,100000,100000,0,3.056649,32715.560583
1,8,3,24,2,100000,100000,0,3.057009,32711.716456
1,8,3,24,2,100000,100000,0,3.043913,32852.455214
1,8,3,24,2,100000,100000,0,3.049580,32791.401869
1,8,3,24,2,100000,100000,0,3.045926,32830.737908
1,8,3,24,2,100000,100000,0,3.152448,31721.376664
1,8,3,24,2,100000,100000,0,3.124016,32010.078955
1,8,3,24,2,100000,100000,0,3.095798,32301.846251
1,8,3,24,2,100000,100000,0,3.055903,32723.551676
1,8,4,32,2,100000,100000,0,2.634229,37961.776290
1,8,4,32,2,100000,100000,0,2.651345,37716.711768
1,8,4,32,2,100000,100000,0,2.640780,37867.602693
1,8,4,32,2,100000,100000,0,2.671946,37425.900586
1,8,4,32,2,100000,100000,0,2.635946,37937.051286
1,8,4,32,2,100000,100000,0,2.590650,38600.347404
1,8,4,32,2,100000,100000,0,2.576457,38812.997318
1,8,4,32,2,100000,100000,0,2.651871,37709.225575
1,8,4,32,2,100000,100000,0,2.578005,38789.678704
1,8,4,32,2,100000,100000,0,2.644787,37810.225937
1,8,8,64,2,100000,100000,0,2.637734,37911.333495
1,8,8,64,2,100000,100000,0,2.665054,37522.690130
1,8,8,64,2,100000,100000,0,2.712182,36870.682050
1,8,8,64,2,100000,100000,0,2.732011,36603.072059
1,8,8,64,2,100000,100000,0,2.715519,36825.375716
1,8,8,64,2,100000,100000,0,2.686002,37230.050650
1,8,8,64,2,100000,100000,0,2.726429,36678.015343
1,8,8,64,2,100000,100000,0,2.705963,36955.419884
1,8,8,64,2,100000,100000,0,2.749262,36373.399540
1,8,8,64,2,100000,100000,0,2.702518,37002.532025
